token,token_id,instance_index,logprob,entropy
Wait,14190,0,-0.138671875,0.431640625
Wait,14190,1,-2.609375,1.421875
Wait,14190,2,-0.8359375,1.25
Wait,14190,3,-0.77734375,1.0
Wait,14190,4,-0.0233154296875,0.1435546875
Wait,14190,5,-0.1455078125,0.6171875
Wait,14190,6,-0.251953125,0.53125
Wait,14190,7,-1.234375,0.67578125
Wait,14190,8,-1.6015625,0.53515625
Wait,14190,9,-0.0791015625,0.271484375
Wait,14190,10,-0.65625,1.703125
Wait,14190,11,-0.201171875,0.474609375
Wait,14190,12,-0.314453125,0.5859375
Wait,14190,13,-2.140625,0.431640625
Wait,14190,14,-0.03759765625,0.203125
Wait,14190,15,-0.00167083740234375,0.012939453125
Wait,14190,16,-0.1630859375,0.439453125
Wait,14190,17,-0.578125,0.69921875
Wait,14190,18,-0.0625,0.2333984375
Wait,14190,19,-0.0016021728515625,0.0145263671875
Wait,14190,20,-2.46875,1.09375
Wait,14190,21,-0.3359375,0.97265625
Wait,14190,22,-0.000400543212890625,0.0037384033203125
Wait,14190,23,-3.5762786865234375e-07,6.67572021484375e-06
Wait,14190,24,-0.1904296875,0.61328125
Wait,14190,25,-0.4375,1.0859375
Wait,14190,26,-0.0032196044921875,0.02197265625
Wait,14190,27,-1.609375,0.890625
Wait,14190,28,-0.009521484375,0.059814453125
Wait,14190,29,-2.0625,1.234375
Wait,14190,30,-0.314453125,0.5859375
Wait,14190,31,-0.08349609375,0.33984375
Wait,14190,32,-1.25,0.90625
Wait,14190,33,-3.921875,0.578125
Wait,14190,34,-1.9140625,1.1796875
Wait,14190,35,-4.4375,0.486328125
Wait,14190,36,-1.09375,0.828125
Wait,14190,37,-0.431640625,0.66015625
Wait,14190,38,-0.00016117095947265625,0.0017242431640625
Wait,14190,39,-1.796875,0.875
Wait,14190,40,-0.0301513671875,0.1357421875
Wait,14190,41,-0.92578125,1.25
Wait,14190,42,-0.10302734375,0.404296875
Wait,14190,43,-4.8125,1.359375
Wait,14190,44,-0.052734375,0.22265625
Wait,14190,45,-0.369140625,0.7265625
Wait,14190,46,-1.7421875,0.93359375
Wait,14190,47,-1.046875,0.93359375
Wait,14190,48,-0.251953125,0.53125
Wait,14190,49,-0.1533203125,0.458984375
Wait,14190,50,-0.017333984375,0.09814453125
Wait,14190,51,-0.26953125,0.7265625
Wait,14190,52,-0.0299072265625,0.134765625
Wait,14190,53,-4.625,1.6640625
Wait,14190,54,-0.5859375,1.46875
Wait,14190,55,-0.07177734375,0.28515625
Wait,14190,56,-0.6640625,1.09375
Wait,14190,57,-0.3515625,0.625
Wait,14190,58,-0.031982421875,0.1689453125
Wait,14190,59,-0.1767578125,0.57421875
Wait,14190,60,-3.53125,0.8984375
Wait,14190,61,-0.1572265625,0.515625
Wait,14190,62,-0.10546875,0.435546875
Wait,14190,63,-0.004302978515625,0.0289306640625
Wait,14190,64,-0.0024566650390625,0.018310546875
Wait,14190,65,-0.193359375,0.66015625
Wait,14190,66,-0.08154296875,0.322265625
