token,token_id,instance_index,logprob,entropy
Wait,14190,0,-1.0078125,1.0078125
Wait,14190,1,-2.484375,1.6796875
Wait,14190,2,-0.3828125,1.125
Wait,14190,3,-2.171875,0.91015625
Wait,14190,4,-0.181640625,0.67578125
Wait,14190,5,-0.212890625,0.8515625
Wait,14190,6,-0.365234375,0.78125
Wait,14190,7,-0.37109375,0.984375
Wait,14190,8,-1.0390625,1.203125
Wait,14190,9,-0.06640625,0.306640625
Wait,14190,10,-1.1328125,1.96875
Wait,14190,11,-0.189453125,0.6015625
Wait,14190,12,-0.255859375,0.55859375
Wait,14190,13,-2.0,1.125
Wait,14190,14,-0.09716796875,0.435546875
Wait,14190,15,-0.0308837890625,0.154296875
Wait,14190,16,-0.369140625,0.71875
Wait,14190,17,-0.7265625,0.86328125
Wait,14190,18,-0.0947265625,0.37109375
Wait,14190,19,-0.038818359375,0.2451171875
Wait,14190,20,-3.734375,1.0859375
Wait,14190,21,-0.8046875,1.4140625
Wait,14190,22,-0.447265625,0.9609375
Wait,14190,23,-0.0014190673828125,0.01123046875
Wait,14190,24,-0.8046875,1.5
Wait,14190,25,-1.03125,1.703125
Wait,14190,26,-0.0283203125,0.1650390625
Wait,14190,27,-1.6640625,1.0546875
Wait,14190,28,-0.06787109375,0.298828125
Wait,14190,29,-1.734375,1.7265625
Wait,14190,30,-0.609375,0.8125
Wait,14190,31,-0.154296875,0.640625
Wait,14190,32,-1.3125,1.3984375
Wait,14190,33,-2.453125,1.5625
Wait,14190,34,-4.28125,1.265625
Wait,14190,35,-4.375,0.86328125
Wait,14190,36,-2.03125,0.51953125
Wait,14190,37,-0.466796875,0.83984375
Wait,14190,38,-0.0167236328125,0.09814453125
Wait,14190,39,-3.140625,0.6171875
Wait,14190,40,-0.04736328125,0.2236328125
Wait,14190,41,-1.609375,1.1796875
Wait,14190,42,-0.12158203125,0.44140625
Wait,14190,43,-4.15625,1.390625
Wait,14190,44,-0.26953125,0.6875
Wait,14190,45,-1.8984375,0.83203125
Wait,14190,46,-3.3125,1.1484375
Wait,14190,47,-1.1953125,1.5078125
Wait,14190,48,-0.453125,0.78515625
Wait,14190,49,-0.478515625,1.140625
Wait,14190,50,-0.09814453125,0.39453125
Wait,14190,51,-0.462890625,1.125
Wait,14190,52,-0.06298828125,0.267578125
Wait,14190,53,-5.71875,1.6484375
Wait,14190,54,-0.87890625,1.734375
Wait,14190,55,-0.1240234375,0.453125
Wait,14190,56,-0.73828125,1.1171875
Wait,14190,57,-0.380859375,0.76171875
Wait,14190,58,-0.146484375,0.57421875
Wait,14190,59,-0.5390625,1.0625
Wait,14190,60,-2.671875,1.0625
Wait,14190,61,-0.765625,0.9609375
Wait,14190,62,-1.7265625,1.328125
Wait,14190,63,-0.033935546875,0.1640625
Wait,14190,64,-0.0224609375,0.12060546875
Wait,14190,65,-2.1875,1.3125
Wait,14190,66,-0.474609375,0.859375
Wait,14190,67,-0.671875,1.2578125
Wait,14190,68,-4.09375,0.85546875
Wait,14190,69,-0.349609375,1.03125
Wait,14190,70,-2.578125,1.0546875
Wait,14190,71,-1.2578125,1.2578125
Wait,14190,72,-3.546875,0.78515625
Wait,14190,73,-0.142578125,0.6171875
Wait,14190,74,-2.71875,0.88671875
Wait,14190,75,-2.90625,0.9921875
Wait,14190,76,-0.142578125,0.515625
Wait,14190,77,-3.3125,0.27734375
Wait,14190,78,-1.1484375,0.99609375
Wait,14190,79,-0.2158203125,0.7421875
Wait,14190,80,-0.011962890625,0.076171875
Wait,14190,81,-0.53125,1.28125
Wait,14190,82,-0.17578125,0.56640625
Wait,14190,83,-0.107421875,0.455078125
Wait,14190,84,-0.515625,0.9296875
Wait,14190,85,-0.3203125,0.8125
Wait,14190,86,-2.421875,1.140625
Wait,14190,87,-0.158203125,0.55078125
Wait,14190,88,-0.048095703125,0.26953125
Wait,14190,89,-4.28125,1.5859375
Wait,14190,90,-3.953125,0.78515625
Wait,14190,91,-3.4375,1.34375
Wait,14190,92,-2.765625,1.453125
Wait,14190,93,-3.1875,1.2578125
Wait,14190,94,-5.8125,1.4140625
Wait,14190,95,-2.6875,1.8984375
Wait,14190,96,-1.7109375,0.87109375
Wait,14190,97,-0.56640625,0.90625
Wait,14190,98,-1.0,1.3125
Wait,14190,99,-3.375,1.0859375
Wait,14190,100,-0.75390625,1.7578125
Wait,14190,101,-1.625,1.2734375
Wait,14190,102,-1.1484375,1.8046875
Wait,14190,103,-0.474609375,1.4453125
Wait,14190,104,-3.359375,2.34375
Wait,14190,105,-3.25,1.234375
Wait,14190,106,-0.326171875,0.67578125
